encoder,variant,seed,parent_updates,continuation_updates,joint_event_nll,split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95
mace_v1,history12,20260919,4096,4096,1.2982057464734853,calibration,24,1774,15,0.12721667346142765,0.3759669606462644,0.11012444504531184,0.16438299867924525,0.13116046786308289,0.06451963457619832,0.0499282009693601,0.15850258875726328,,
mace_v1,history12,20260919,4096,4096,1.1024567072085865,test,24,4691,30,0.08396381261022033,0.2887337279601118,0.07709087096039592,0.1051235891756559,0.13116046786308289,0.1929173568442895,0.13154460940273574,0.11849560662715625,"[0.254086594470271, 0.3261039121959066]","[0.0639874943263838, 0.09108402798705702]"
mace_v1,history12,20260919,4096,4096,1.083772801624378,selection,48,2220,15,0.183668406025412,0.46768957933409816,0.1471667263892982,0.27304244534600697,0.27224254608154297,0.07470784286109923,0.05492933775627211,0.23430662769448227,,
mace_v1,history12,20260919,4096,4096,1.2982057464734853,calibration,48,1774,15,0.2558979711877057,0.5576750927572585,0.1867741506105839,0.3146222160967907,0.27224254608154297,0.08533595269251304,0.049416487907286435,0.3725979453554112,,
mace_v1,history12,20260919,4096,4096,1.1024567072085865,test,48,4691,30,0.17346459462559105,0.4661203987902912,0.14542758884132193,0.19760267982750176,0.27224254608154297,0.11590954248682182,0.1064793050906774,0.1859703090986902,"[0.42472543090793613, 0.5056307306155325]","[0.1271836549667879, 0.16295904065412697]"
mace_v1,history12,20260919,4096,4096,1.083772801624378,selection,96,2220,15,0.3510004862849353,0.6296093969029757,0.21983845177515932,0.4100079030571487,0.5353963971138,0.0027982238580972637,0.03292984219786451,0.043938186171170235,,
mace_v1,history12,20260919,4096,4096,1.2982057464734853,calibration,96,1774,15,0.494912498149532,0.6672513418219832,0.23787401586864362,0.5286267179198455,0.5353963971138,0.023130424166399682,0.0498112927381174,0.312717838152415,,
mace_v1,history12,20260919,4096,4096,1.1024567072085865,test,96,4691,30,0.35421946951743727,0.6553788564280691,0.23203012472050474,0.36871859833741416,0.5353963971138,0.012166112086611702,0.0382131501265704,0.14867030600872455,"[0.6283858309063858, 0.6786911165633377]","[0.2188804403354898, 0.2432770860898176]"
axial_gatr_v2,history12,20260919,4096,4096,1.0823206162169126,selection,0.75,2220,15,0.002116662413142124,0.015402572384502473,0.0021130648974143737,0.001870026306124427,0.0020368273835629225,0.0,0.06655245089087422,0.0,,
axial_gatr_v2,history12,20260919,4096,4096,1.292112827731922,calibration,0.75,1774,15,0.0024338147203541477,0.01713643040396099,0.002428166646420141,0.005311109589701737,0.0020368273835629225,0.0,0.04984343876316256,0.0,,
axial_gatr_v2,history12,20260919,4096,4096,1.0974971262473232,test,0.75,4691,30,0.0029441286631662887,0.020465111574564432,0.0029369629925069898,0.004343680376964824,0.0020368273835629225,0.0,0.10295499885999945,0.0,"[0.007658655382359644, 0.03636204180399145]","[0.0009538541046166659, 0.005423893817566603]"
axial_gatr_v2,history12,20260919,4096,4096,1.0823206162169126,selection,3,2220,15,0.012197525400714835,0.06545360057017421,0.012041389900372762,0.018488747831439088,0.013681882061064243,0.18988587348559388,0.10612822613637715,0.021615872556685626,,
axial_gatr_v2,history12,20260919,4096,4096,1.292112827731922,calibration,3,1774,15,0.010622582090326706,0.05812895429389956,0.010494863919595494,0.028179703263024602,0.013681882061064243,0.25252774169467507,0.04945205171455927,0.05197706207908249,,
axial_gatr_v2,history12,20260919,4096,4096,1.0974971262473232,test,3,4691,30,0.010255489996271665,0.056569094840892405,0.010138543886369498,0.01859388744314993,0.013681882061064243,0.22087431049610629,0.07679740155797728,0.028938675639986547,"[0.03429935829439788, 0.08422851186223047]","[0.005233124970778677, 0.016293205201535283]"
axial_gatr_v2,history12,20260919,4096,4096,1.0823206162169126,selection,9,2220,15,0.030760451321431705,0.1358208907161104,0.029715693085583354,0.05178038420006306,0.04203011468052864,0.08838226967382257,0.058129073473417184,0.04603273694973327,,
axial_gatr_v2,history12,20260919,4096,4096,1.292112827731922,calibration,9,1774,15,0.04293983351089521,0.17539768489692742,0.04098137562735731,0.059695173597844466,0.04203011468052864,0.04158642779230136,0.049717988119482893,0.0361708923941277,,
axial_gatr_v2,history12,20260919,4096,4096,1.0974971262473232,test,9,4691,30,0.030011946895797365,0.13429093041766124,0.029086411980522,0.036886765760437666,0.04203011468052864,0.10519366089394354,0.10222022833377939,0.030858010135561418,"[0.10916272050128785, 0.1623851644525311]","[0.02186098286340514, 0.037025014847861165]"
axial_gatr_v2,history12,20260919,4096,4096,1.0823206162169126,selection,24,2220,15,0.08653322279977228,0.2891934502467251,0.07820697017702805,0.13019582355552256,0.13012604415416718,0.17968107623366675,0.09509688738020033,0.15181561191016965,,
axial_gatr_v2,history12,20260919,4096,4096,1.292112827731922,calibration,24,1774,15,0.12721667346142765,0.3744025452752649,0.10986158964745084,0.18547483150622984,0.13012604415416718,0.08964291146919688,0.04973129252904043,0.20807042829676778,,
axial_gatr_v2,history12,20260919,4096,4096,1.0974971262473232,test,24,4691,30,0.08396381261022033,0.2876514442035627,0.07691979700562256,0.11884459742482559,0.13012604415416718,0.17595727215598433,0.1118330384161179,0.12603994362431994,"[0.25305415179515206, 0.32505562971548385]","[0.06381264364063212, 0.09096080854446975]"
axial_gatr_v2,history12,20260919,4096,4096,1.0823206162169126,selection,48,2220,15,0.183668406025412,0.4653489519747133,0.14655276973412176,0.25260141334720554,0.2719195783138275,0.1687924071429436,0.08882881364467202,0.2994894735485543,,
axial_gatr_v2,history12,20260919,4096,4096,1.292112827731922,calibration,48,1774,15,0.2558979711877057,0.5551817393553181,0.18601138290922986,0.35737674113648915,0.2719195783138275,0.08060463118633258,0.04983771410982945,0.35741184987344415,,
axial_gatr_v2,history12,20260919,4096,4096,1.0974971262473232,test,48,4691,30,0.17346459462559105,0.46357078395050894,0.1446076658313043,0.23224103753614564,0.2719195783138275,0.1935245359819448,0.09197577427782239,0.30631793821251974,"[0.4230036610333481, 0.5032911936910197]","[0.12645316562911715, 0.1622277522840218]"
axial_gatr_v2,history12,20260919,4096,4096,1.0823206162169126,selection,96,2220,15,0.3510004862849353,0.6283148914986292,0.2193873547735448,0.399337668592406,0.5288249850273132,0.004540730831750092,0.03532920006359729,0.0649935008324037,,
axial_gatr_v2,history12,20260919,4096,4096,1.292112827731922,calibration,96,1774,15,0.494912498149532,0.6633976989619041,0.23606135120209357,0.5526140091780355,0.5288249850273132,0.03634362011353928,0.049952864192051374,0.416195302274385,,
axial_gatr_v2,history12,20260919,4096,4096,1.0974971262473232,test,96,4691,30,0.35421946951743727,0.6507216340852446,0.2297303181231484,0.3811993248288251,0.5288249850273132,0.015939348908038883,0.038448564405685684,0.18526532050946198,"[0.6265692952189229, 0.6712394681850578]","[0.21802781890145148, 0.23958005121637607]"
